Tags,Sub Tags,True or not?,paper link,data_source,text,text_len
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"The slogan ""Red Bull gives you wings"" is used because in animal experiments, rats grew rudiment wings.",101
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"If a can of Red Bull is heated up to 104ºF, it releases health-threatening substances.",85
Conspiracy,"Company / Pharmacy / Organization, RedBull",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The official inventor of Red Bull pays 10 million Euros each year to keep food controllers quiet.,96
Controversy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Horoscopes are right too often for it to be a coincidence.,57
Fact,Mythical / Supernatural,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Good luck charms don't work.,27
Fact,Science,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,It is not possible to harm others merely by thinking bad thoughts about them.,76
Fact,Mythical / Supernatural,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,Numbers like 13 and 7 have no special powers.,44
Conspiracy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The government refuses to tell us the truth about flying saucers.,64
Controversy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"There is an unknown, inexplicable energy all around us that makes us experience events, realize important insights, or meet certain people at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but the result of mysterious forces that are all around us.",283
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"There are hidden organizations that influence citizens’ lives in ways that people do not understand, and that explain many events that occur in society.",152
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"There are all sorts of unknown and secret organizations that keep track of what citizens are doing, put impactful events in motion, and make sure that we receive certain news at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but a result of secret organizations that influence us.",315
Conspiracy,Political,Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"The federal authorities routinely collect data on phone calls, emails and other electronic traffic that Americans generate, regardless of whether they have any bearing on a counterterrorism investigation.",203
Conspiracy,Political,Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"The NSA reads the content of 2,000 e-mail messages and Internet chats every month, and that most of these messages are sent by people who are not communicating about terrorist plots. The government desperately wanted to keep this practice a secret.",248
Conspiracy,"9/11, Political",Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,The US government has been linked to the 9/11 attacks. It is said that there was advance knowledge of the attacks among high-level government officials. There are many inconsistencies in the official accounts and the current ongoing inquests are still uncovering new information that casts these accounts into serious doubt.,324
Conspiracy,Political,Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,British government was involved in the death of Princess Diana.,62
Controversy,Political,Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"There is no evidence at all to suggest that the American government monitors ordinary citizens indiscriminately, without adequate oversight and targeting.",153
Controversy,Political,Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"A recent survey by the Pew Research Center and the Washington Post of 1,004 adults showed that an overwhelming majority of Americans support the NSA’s surveillance efforts.",171
Controversy,"9/11, Political",Dont Know,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers,"It is said that there was advance knowledge of the 9/11 attacks among high-level government officials. However, there is no evidence to support this account and the current ongoing inquests are revealing only information that is consistent with the official statements.",269
Conspiracy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,"ISIS was created by the United States and Israel, in order to create chaos in the Middle East and make Islam look bad.",117
Conspiracy,"9/11, Political",FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,"The United States carried out the attacks of 11 September 2001 themselves, in order to invade countries in the Middle East and make Islam look bad.",146
Conspiracy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,The holocaust was largely made up in order to secure the State of Israel.,72
Conspiracy,Religion,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,Jewish bankers control the world economy and most governments.,61
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,"The economic crisis of 2007 was created deliberately by bankers to make lower and middle income groups poorer, and themselves richer.",132
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,"The medical and pharmaceutical industry deliberately withhold a cure against cancer, in order to continue earning money from cancer patients.",140
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,Big companies and financial institutions are closely connected with politics in order to weaken labor unions and decrease social securities.,139
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,"Financial organizations such as the World Bank, IMF, and the European Central Bank are under the supervision of major companies to make the rich richer and the poor poorer.",171
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,All the important media companies are dominated by a left‐wing elite that continuously promotes left‐wing politics.,114
Conspiracy,Regional,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,Americans keep UFOs that landed on Earth hidden at an air base in Roswell.,73
Conspiracy,Science,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,The Apollo‐moon landings were fake and filmed by Americans in a studio.,70
Conspiracy,Company / Pharmacy / Organization,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,A secret society—the Illuminati—has controlled most governments for centuries in order to form one world government.,115
Conspiracy,Political,FALSE,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers,Princess Diana was murdered by the British Royal family because she knew too many secrets about this family.,107
Fact,Regional,TRUE,https://www150.statcan.gc.ca/n1/daily-quotidien/000524/dq000524a-eng.htm,Link,Canada suffered a net loss of skilled workers to the United States in several key knowledge-based occupations.,109
Fact,Regional,TRUE,https://www150.statcan.gc.ca/n1/daily-quotidien/000524/dq000524a-eng.htm,Link,Canada received far more university graduates than it has lost to the United States.,84
Controversy,Regional,FALSE,"https://www.nationalgeographic.com/history/article/atlantis#:~:text=Few%2C%20if%20any%2C%20scientists%20think,wrote%20about%20Atlantis%20is%20true.",Link,Atlantis actually existed.,25
Controversy,Others,FALSE,https://www.nber.org/papers/w10174,CT papers,Wage equals productivity.,24
Conspiracy,Religion,Dont Know,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link,The Catholic Church is trying to keep the true origins of Christianity a secret.,79
Conspiracy,Religion,Dont Know,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link,Mary Magdalene (rather than St. Peter) was the person originally designated by Jesus to head up his church.,106
Conspiracy,Religion,Dont Know,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link,Emperor Constantine re-invented Christianity.,44
Conspiracy,"Company / Pharmacy / Organization, Religion",Dont Know,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link,"Leonardo da Vinci was the head of a secret society formed to preserve the true origins of Christianity, and he concealed hidden attacks on the Christian faith in his art.",169
Conspiracy,Religion,Dont Know,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link,Jesus had a child and his physical descendants alive in the world today.,71
Controversy,"Environment, Science",Plausible,"https://journals.ametsoc.org/view/journals/bams/49/1/1520-0477-49_1_4.xml#:~:text=After%20a%20careful%20assessment%20of,1925%20at%20La%20Porte%2C%20Ind.",CT papers,"A notable increase in precipitation, moderate rain days, thunderstorm days, and hail days has been occurring since 1925 at La Porte, Ind. Since La Porte is 30 miles east of the large complex of heavy industries at Chicago, there is a strong suggestion that the increases in precipitation conditions are due to inadvertent man-made modification.",344
Controversy,"Geography, Science",Plausible,https://en.wikipedia.org/wiki/Robert_Peary,WP,Robert Edwin Peary Sr. led an expedition that was the first to have reached the geographic North Pole.,102
Fiction,Mythical / Supernatural,FALSE,https://www.goodreads.com/en/book/show/21086078,Book,"Himalayan yeti or ""abominable snowman” or ape-man actually exists.",65
Controversy,Science,Dont Know,https://www.jstor.org/stable/41464941,CT papers,"Our ancestors once spent a significant part of their life in water. With the Pleistocene cooling, our ancestors returned to land and became bipedal omnivores and scavengers and later hunters of coastal and riverside animals.",224
Controversy,Science,FALSE,https://www-sciencedirect-com.proxy.lib.uwaterloo.ca/science/article/pii/S1471492218300254,CT papers,Genetically Modified Mosquitoes are effectively eradicating Mosquito borne diseases all over the world.,102
Controversy,Science,FALSE,https://en.wikipedia.org/wiki/Faith_healing,WP,The healing of disease and disability can be brought about by religious faith through prayer or other rituals that can stimulate a divine presence and power.,156
Fact,Science,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2714380/,CT papers,"Specific foods, especially those that are rich in fat and/or sugar, are capable of promoting ""addiction""-like behavior and neuronal change.",138
Fact,Science,Dont Know,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2714380/,CT papers,There is a Obesity epidemic going on in the US.,46
Stereotype,Racial,Dont Know,https://www2.law.umaryland.edu/marshall/usccr/documents/cr11064.pdf,CT papers,Stereotyping Asian Americans as a successful minority and actually led to make them successfull in reality.,106
Fact,"Environment, Science",TRUE,https://www-sciencedirect-com.proxy.lib.uwaterloo.ca/science/article/pii/S0378377405002854?via%3Dihub,CT papers,Water will be a major constraint for agriculture in coming decades and particularly in Asia and Africa this will require major institutional adjustments.,153
Fact,"Environment, Science",FALSE,https://www-sciencedirect-com.proxy.lib.uwaterloo.ca/science/article/pii/S0378377405002854?via%3Dihub,CT papers,The entire world is suffering from water scarcity at present.,60
Controversy,Political,Dont Know,https://en.wikipedia.org/wiki/2005_Quran_desecration_controversy,WP,government sources had confirmed that United States personnel at the Guantanamo Bay detention camp had deliberately damaged a copy of the Quran by flushing it in a toilet in order to torment the prison's Muslim captives.,220
Misconception,Others,FALSE,https://en.wikipedia.org/wiki/Essjay_controversy,WP,"Ryan Jordan, a Wikipedia editor who went by the username ""Essjay"" was a university professor of religion, during which time he was elected to top positions of trust by the community, including administrator  and arbitrator.",223
Controversy,Religion,FALSE,https://en.wikipedia.org/wiki/Holocaust_teaching_hoax,WP,The teaching of the Holocaust had been banned in British schools in fear of offending Muslim pupils.,100
Fact,Political,TRUE,https://en.wikipedia.org/wiki/Proclaimer_controversy_of_the_Bangladeshi_Independence,WP,Bangabandhu is described as the proclaimer of the independence  of Bangladesh  in all diplomatic secret documents of the Richard Nixon administration.,149
Conspiracy,Company / Pharmacy / Organization,FALSE,https://en.wikipedia.org/wiki/Expelled:_No_Intelligence_Allowed,WP,There is a conspiracy in academia to oppress and exclude people who believe in intelligent design.,97
Conspiracy,Science,FALSE,https://en.wikipedia.org/wiki/Expelled:_No_Intelligence_Allowed,WP,"The scientific theory of evolution is a contributor to communism, fascism, atheism, eugenics, and in particular Nazi atrocities in the Holocaust.",145
Conspiracy,Religion,FALSE,,WP,Jews are secretly in control of the Islamic State.,49
Misconception,"Medicine, Science",FALSE,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,"Not only does chocolate accelerate weight loss, but it leads to healthier cholesterol levels and overall increased well-being.",126
Controversy,Political,FALSE,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,Pope had endorsed Trump.,23
Conspiracy,Political,FALSE,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,Hilary Clinton had murdered an FBI agent.,40
Conspiracy,Political,FALSE,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,Hilary Clinton had sold weapons to ISIS.,39
Misconception,Religion,Plausible,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,1 in 5 Brit Muslims’ sympathy for Jihadis.,41
Misconception,Political,FALSE,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers,Pride supporters also support ISIS as proved by the flying of ISIS flag at a pride rally.,88
Misconception,"Political, Religion",FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,"President Obama had offered to pay out of his own pocket for the museum of Muslim culture, yet it's the Republican National Committee who's paying for this.",156
Misconception,Science,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Far more children died in 2013 drowning in their bathtubs than were killed accidentally by guns.,95
Misconception,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Obama had accumulated more debt than previous 43 presidents combined.,68
Misconception,"Medicine, Science",FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,There is no good data showing secondhand smoke kills people.,59
Misconception,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,The health insurance industry is run mostly by Democrats.,56
Misconception,"Medicine, Science",FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Ebola can be transmitted through the air by a sneeze or some cough.,66
Controversy,"Political, Religion",FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Texas State Board of Education considered eliminating references to Christmas and the Constitution in textbooks.,112
Controversy,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,"During the lead-up to the American Revolutionary War, some guy in Boston got his head blown off because he tried to secretly raise the tax on tea.",146
Controversy,Company / Pharmacy / Organization,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,The 'Denver Post' has actually hired an editor to promote pot.,61
Controversy,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Liberals have figured out a Facebook algorithm and all the people getting banned from Facebook are somehow conservatives.,121
Controversy,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,Under the Obama plan all the health care in this country is eventually going to be run by the government.,105
Controversy,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,"If you log into the government's Cash for Clunkers website (http://cars.gov/) from your home computer, the government can seize all of your personal and private information, and track your computer activity.",207
Controversy,Science,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,106
Controversy,Political,FALSE,https://www.politifact.com/article/2015/feb/26/50-fox-news-lies-6-seconds-daily-show/,Link,"A new Colorado law allows residents to print ballots from their home computers, then encourages them to turn ballots over to collectors.",135
